chr1	69954	70054	100
chr1	622431	622931	500
chr1	1083307	1083332	25
chr1	1222519	1222544	25
chr1	1791694	1792193	499
chr1	2252556	2252656	100
chr1	7102091	7102191	100
chr1	7168007	7168107	100
chr1	15084779	15084879	100
chr1	15127671	15127681	10
chr1	20123940	20124439	499
chr1	23092906	23092931	25
chr1	33097740	33097765	25
chr1	33157688	33157713	25
chr1	47395444	47395454	10
chr1	51379328	51379353	25
chr1	52943294	52943319	25
chr1	53594255	53594355	100
chr1	53753295	53753320	25
chr1	53778957	53779457	500
chr1	58414187	58414197	10
chr1	58509072	58509097	25
chr1	58563838	58564338	500
chr1	65376149	65376174	25
chr1	67003141	67009025	5884
chr1	80000790	80000890	100
chr1	80002757	80002857	100
chr1	80276781	80276881	100
chr1	80405838	80406338	500
chr1	81312570	81312595	25
chr1	81373886	81373932	46
chr1	83548532	83548632	100
chr1	88836122	88844454	8332
chr1	89344368	89344393	25
chr1	89624764	89624864	100
chr1	89751337	89751362	25
chr1	89775026	89775036	10
chr1	89813150	89813175	25
chr1	100360895	100360995	100
chr1	100422802	100422827	25
chr1	100495762	100495772	10
chr1	108581617	108614920	33303
chr1	109237673	109303020	65347
chr1	114247957	114370967	123010
chr1	120516728	120517227	499
chr1	120972468	120972501	33
chr1	120988559	120988584	25
chr1	123631292	123631317	25
chr1	123720348	123720373	25
chr1	123767397	123767422	25
chr1	123803770	123803795	25
chr1	123859921	123859946	25
chr1	123892222	123892722	500
chr1	125782263	125782288	25
chr1	125896728	125896753	25
chr1	125959013	125959038	25
chr1	130875213	130875313	100
chr1	139640652	139640752	100
chr1	144516801	144516901	100
chr1	148944814	148945313	499
chr1	149780054	149787213	7159
chr1	162041262	162041362	100
chr1	162041406	162041906	500
chr1	164983076	164983575	499
chr1	165840273	165840283	10
chr1	165977225	166130763	153538
chr1	169337091	169337323	232
chr1	172383622	172383722	100
chr1	177013783	177013883	100
chr1	177032488	177032588	100
chr1	177115237	177115337	100
chr1	184552105	184552205	100
chr1	186912356	186912456	100
chr1	188009252	188010449	1197
chr1	188215399	188215424	25
chr1	190882785	190883284	499
chr1	194439548	194440048	500
chr1	197927137	197927162	25
chr1	200771330	200853205	81875
chr1	202519462	202519562	100
chr1	202950116	202950141	25
chr1	205606924	205614052	7128
chr1	206122889	206122914	25
chr1	206194240	206194265	25
chr1	206279107	206279207	100
chr1	206426376	206426476	100
chr1	206630519	206631019	500
chr1	206633430	206633530	100
chr2	33310	33810	500
chr2	138792	138817	25
chr2	591803	591828	25
chr2	796844	796869	25
chr2	906384	906884	500
chr2	1546581	1546681	100
chr2	2275086	2275111	25
chr2	2616414	2616514	100
chr2	2764739	2764764	25
chr2	3031912	3032411	499
